====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3700 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =11442.47
 Total Target Vacancies     = 48 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  2344.34E-09  6851.15E-09  
800000.E-01  3187.69E-09  7462.53E-09  
120000.E+00  3607.18E-09  4337.20E-09  
160000.E+00  3834.40E-09  5967.59E-09  
200000.E+00  3967.68E-09  7587.52E-09  
240000.E+00  3878.10E-09  6953.15E-09  
280000.E+00  4155.57E-09  6115.01E-09  
320000.E+00  4157.76E-09  6916.46E-09  
360000.E+00  4358.76E-09  1067.47E-08  
400000.E+00  4354.39E-09  8921.77E-09  
440000.E+00  4548.84E-09  1272.04E-08  
480000.E+00  4651.53E-09  9167.11E-09  
520000.E+00  4697.41E-09  8302.44E-09  
560000.E+00  4826.32E-09  1700.09E-08  
600000.E+00  5027.32E-09  9868.10E-09  
640000.E+00  5230.51E-09  1307.68E-08  
680000.E+00  5261.10E-09  1207.14E-08  
720000.E+00  5643.45E-09  1293.21E-08  
760000.E+00  6025.80E-09  2605.85E-08  
800000.E+00  6287.98E-09  1273.89E-08  
840000.E+00  6517.39E-09  1125.35E-08  
880000.E+00  6781.75E-09  1365.26E-08  
920000.E+00  7185.95E-09  1913.04E-08  
960000.E+00  7734.35E-09  1615.29E-08  
100000.E+01  8361.40E-09  2377.12E-08  
104000.E+01  8975.34E-09  1924.24E-08  
108000.E+01  9825.24E-09  2386.58E-08  
